Method,dataset,nl,ei1,ei2,fp,fn,rf
Astral,1000,26,23,23,23,23,1
Astral,1000,26,23,23,6,6,0.260869565
Astral,1000,26,23,23,13,13,0.565217391
Astral,1000,26,23,23,4,4,0.173913043
Astral,1000,26,23,23,4,4,0.173913043
Astral,1000,26,23,23,7,7,0.304347826
Astral,1000,26,23,23,23,23,1
Astral,1000,26,23,23,6,6,0.260869565
Astral,500,26,23,23,23,23,1
Astral,500,26,23,23,6,6,0.260869565
Astral,500,26,23,23,13,13,0.565217391
Astral,500,26,23,23,5,5,0.217391304
Astral,500,26,23,23,4,4,0.173913043
Astral,500,26,23,23,7,7,0.304347826
Astral,500,26,23,23,23,23,1
Astral,500,26,23,23,8,8,0.347826087
svd,1000,26,23,23,13,13,0.565217391
svd,1000,26,23,23,9,9,0.391304348
svd,1000,26,23,23,4,4,0.173913043
svd,1000,26,23,23,6,6,0.260869565
svd,1000,26,23,23,4,4,0.173913043
svd,1000,26,23,23,4,4,0.173913043
svd,1000,26,23,23,14,14,0.608695652
svd,1000,26,23,23,6,6,0.260869565
svd,500,26,23,23,14,14,0.608695652
svd,500,26,23,23,7,7,0.304347826
svd,500,26,23,23,4,4,0.173913043
svd,500,26,23,23,6,6,0.260869565
svd,500,26,23,23,4,4,0.173913043
svd,500,26,23,23,4,4,0.173913043
svd,500,26,23,23,13,13,0.565217391
svd,500,26,23,23,10,10,0.434782609
out_final,1000,26,21,23,23,21,1
out_final,1000,26,22,23,7,6,0.288888889
out_final,1000,26,19,23,13,9,0.523809524
out_final,1000,26,17,23,8,2,0.25
out_final,1000,26,22,23,4,3,0.155555556
out_final,1000,26,22,23,7,6,0.288888889
out_final,1000,26,23,23,23,23,1
out_final,1000,26,21,23,6,4,0.227272727
out_final,500,26,21,23,23,21,1
out_final,500,26,21,23,10,8,0.409090909
out_final,500,26,20,23,13,10,0.534883721
out_final,500,26,21,23,5,3,0.181818182
out_final,500,26,23,23,3,3,0.130434783
out_final,500,26,23,23,7,7,0.304347826
out_final,500,26,22,23,23,22,1
out_final,500,26,17,23,13,7,0.5